,sentence,sent_length,end_of_par,final_punct,final_word
0,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.",123,0,.,much.
1,"They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.
",139,1,.,"nonsense.
"
2,"Mr. Dursley was the director of a firm called Grunnings, which made drills.",75,0,.,drills.
3,"He was a big, beefy man with hardly any neck, although he did have a very large mustache.",89,0,.,mustache.
4,"Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors.",191,0,.,neighbors.
5,"The Dursley s had a small son called Dudley and in their opinion there was no finer boy anywhere.
",98,1,.,"anywhere.
"
6,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.",129,0,.,it.
7,They didn't think they could bear it if anyone found out about the Potters.,75,0,.,Potters.
8,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be.",234,0,.,be.
9,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.,98,0,.,street.
10,"The Dursleys knew that the Potters had a small son, too, but they had never even seen him.
",91,1,.,"him.
"
11,"This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.
",118,1,.,"that.
"
12,"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country.",216,0,.,country.
13,"Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.
",161,1,.,"chair.
"
14,"None of them noticed a large, tawny owl flutter past the window.
",65,1,.,"window.
"
15,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.",214,0,.,walls.
16,"""Little tyke,"" chortled Mr. Dursley as he left the house.",57,0,.,house.
17,"He got into his car and backed out of number four's drive.
",59,1,.,"drive.
"
18,It was on the corner of the street that he noticed the first sign of something peculiar - a cat reading a map.,110,0,.,map.
19,"For a second, Mr. Dursley didn't realize what he had seen - then he jerked his head around to look again.",105,0,.,again.
20,"There was a tabby cat standing on the corner of Privet Drive, but there wasn't a map in sight.",94,0,.,sight.
21,What could he have been thinking of?,36,0,?,of?
22,It must have been a trick of the light.,39,0,.,light.
23,Mr. Dursley blinked and stared at the cat.,42,0,.,cat.
24,It stared back.,15,0,.,back.
25,"As Mr. Dursley drove around the corner and up the road, he watched the cat in his mirror.",89,0,.,mirror.
26,"It was now reading the sign that said Privet Drive - no, looking at the sign; cats couldn't read maps or signs.",111,0,.,signs.
27,Mr. Dursley gave himself a little shake and put the cat out of his mind.,72,0,.,mind.
28,"As he drove toward town he thought of nothing except a large order of drills he was hoping to get that day.
",108,1,.,"day.
"
29,"But on the edge of town, drills were driven out of his mind by something else.",78,0,.,else.
30,"As he sat in the usual morning traffic jam, he couldn't help noticing that there seemed to be a lot of strangely dressed people about.",134,0,.,about.
31,People in cloaks.,17,0,.,cloaks.
32,Mr. Dursley couldn't bear people who dressed in funny clothes - the getups you saw on young people!,99,0,!,people!
33,He supposed this was some stupid new fashion.,45,0,.,fashion.
34,He drummed his fingers on the steering wheel and his eyes fell on a huddle of these weirdos standing quite close by.,116,0,.,by.
35,They were whispering excitedly together.,40,0,.,together.
36,"Mr. Dursley was enraged to see that a couple of them weren't young at all; why, that man had to be older than he was, and wearing an emerald-green cloak!",153,0,!,cloak!
37,The nerve of him!,17,0,!,him!
38,"But then it struck Mr. Dursley that this was probably some silly stunt - these people were obviously collecting for something ... yes, that would be it.",152,0,.,it.
39,"The traffic moved on and a few minutes later, Mr. Dursley arrived in the Grunnings parking lot, his mind back on drills.
",121,1,.,"drills.
"
40,Mr. Dursley always sat with his back to the window in his office on the ninth floor.,84,0,.,floor.
41,"If he hadn't, he might have found it harder to concentrate on drills that morning.",82,0,.,morning.
42,"He didn't see the owls swooping past in broad daylight, though people down in the street did; they pointed and gazed open-mouthed as owl after owl sped overhead.",161,0,.,overhead.
43,Most of them had never seen an owl even at nighttime.,53,0,.,nighttime.
44,"Mr. Dursley, however, had a perfectly normal, owl-free morning.",63,0,.,morning.
45,He yelled at five different people.,35,0,.,people.
46,He made several important telephone calls and shouted a bit more.,65,0,.,more.
47,"He was in a very good mood until lunchtime, when he thought he'd stretch his legs and walk across the road to buy himself a bun from the bakery.
",145,1,.,"bakery.
"
48,He'd forgotten all about the people in cloaks until he passed a group of them next to the baker's.,98,0,.,baker's.
49,He eyed them angrily as he passed.,34,0,.,passed.
50,"He didn't know why, but they made him uneasy.",45,0,.,uneasy.
51,"This bunch were whispering excitedly, too, and he couldn't see a single collecting tin.",87,0,.,tin.
52,"It was on his way back past them, clutching a large doughnut in a bag, that he caught a few words of what they were saying.
",124,1,.,"saying.
"
53,"""The Potters, that's right, that's what I heard - ""
",52,1,"""","""
"
54,""" - yes, their son, Harry - ""
",30,1,"""","""
"
55,Mr. Dursley stopped dead.,25,0,.,dead.
56,Fear flooded him.,17,0,.,him.
57,"He looked back at the whisperers as if he wanted to say something to them, but thought better of it.
",101,1,.,"it.
"
58,"He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.",198,0,.,mind.
59,"He put the receiver back down and stroked his mustache, thinking ... no, he was being stupid.",93,0,.,stupid.
60,Potter wasn't such an unusual name.,35,0,.,name.
61,He was sure there were lots of people called Potter who had a son called Harry.,79,0,.,Harry.
62,"Come to think of it, he wasn't even sure his nephew was called Harry.",69,0,.,Harry.
63,He'd never even seen the boy.,29,0,.,boy.
64,It might have been Harvey.,26,0,.,Harvey.
65,Or Harold.,10,0,.,Harold.
66,There was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister.,98,0,.,sister.
67,"He didn't blame her - if he'd had a sister like that ... but all the same, those people in cloaks ...
",102,1,.,"...
"
68,"He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock, he was still so worried that he walked straight into someone just outside the door.
",196,1,.,"door.
"
69,"""Sorry,"" he grunted, as the tiny old man stumbled and almost fell.",66,0,.,fell.
70,It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak.,89,0,.,cloak.
71,He didn't seem at all upset at being almost knocked to the ground.,66,0,.,ground.
72,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today!",171,0,!,today!
73,"Rejoice, for You- Know-Who has gone at last!",44,0,!,last!
74,"Even Muggles like yourself should be celebrating, this happy, happy day!""
",74,1,"""","day!""
"
75,"And the old man hugged Mr. Dursley around the middle and walked off.
",69,1,.,"off.
"
76,Mr. Dursley stood rooted to the spot.,37,0,.,spot.
77,He had been hugged by a complete stranger.,42,0,.,stranger.
78,"He also thought he had been called a Muggle, whatever that was.",63,0,.,was.
79,He was rattled.,15,0,.,rattled.
80,"He hurried to his car and set off for home, hoping he was imagining things, which he had never hoped before, because he didn't approve of imagination.
",151,1,.,"imagination.
"
81,"As he pulled into the driveway of number four, the first thing he saw - and it didn't improve his mood - was the tabby cat he'd spotted that morning.",149,0,.,morning.
82,It was now sitting on his garden wall.,38,0,.,wall.
83,"He was sure it was the same one; it had the same markings around its eyes.
",75,1,.,"eyes.
"
84,"""Shoo!""",7,0,"""","""Shoo!"""
85,"said Mr. Dursley loudly.
",25,1,.,"loudly.
"
86,The cat didn't move.,20,0,.,move.
87,"It just gave him a stern look.
",31,1,.,"look.
"
88,Was this normal cat behavior?,29,0,?,behavior?
89,Mr. Dursley wondered.,21,0,.,wondered.
90,"Trying to pull himself together, he let himself into the house.",63,0,.,house.
91,"He was still determined not to mention anything to his wife.
",61,1,.,"wife.
"
92,"Mrs. Dursley had had a nice, normal day.",40,0,.,day.
93,"She told him over dinner all about Mrs. Next Door's problems with her daughter and how Dudley had learned a new word (""Won't!"").",128,0,.,"(""Won't!"")."
94,Mr. Dursley tried to act normally.,34,0,.,normally.
95,"When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news:
",116,1,:,"news:
"
96,"""And finally, bird-watchers everywhere have reported that the nation's owls have been behaving very unusually today.",116,0,.,today.
97,"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise.",168,0,.,sunrise.
98,"Experts are unable to explain why the owls have suddenly changed their sleeping pattern.""",89,0,"""","pattern."""
99,The newscaster allowed himself a grin.,38,0,.,grin.
100,"""Most mysterious.",17,0,.,mysterious.
101,"And now, over to Jim McGuffin with the weather.",47,0,.,weather.
102,"Going to be any more showers of owls tonight, Jim?""
",52,1,"""","Jim?""
"
103,"""Well, Ted,"" said the weatherman, ""I don't know about that, but it's not only the owls that have been acting oddly today.",121,0,.,today.
104,"Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars!",172,0,!,stars!
105,"Perhaps people have been celebrating Bonfire Night early - it's not until next week, folks!",91,0,!,folks!
106,"But I can promise a wet night tonight.""
",40,1,"""","tonight.""
"
107,Mr. Dursley sat frozen in his armchair.,39,0,.,armchair.
108,Shooting stars all over Britain?,32,0,?,Britain?
109,Owls flying by daylight?,24,0,?,daylight?
110,Mysterious people in cloaks all over the place?,47,0,?,place?
111,"And a whisper, a whisper about the Potters .",44,0,.,.
112,.,1,0,.,.
113,".
",2,1,.,".
"
114,Mrs. Dursley came into the living room carrying two cups of tea.,64,0,.,tea.
115,It was no good.,15,0,.,good.
116,He'd have to say something to her.,34,0,.,her.
117,He cleared his throat nervously.,32,0,.,nervously.
118,"""Er -Petunia, dear - you haven't heard from your sister lately, have you?""
",75,1,"""","you?""
"
119,"As he had expected, Mrs. Dursley looked shocked and angry.",58,0,.,angry.
120,"After all, they normally pretended she didn't have a sister.
",61,1,.,"sister.
"
121,"""No,"" she said sharply.",23,0,.,sharply.
122,"""Why?""
",7,1,"""","""Why?""
"
123,"""Funny stuff on the news,"" Mr. Dursley mumbled.",47,0,.,mumbled.
124,"""Owls .",7,0,.,.
125,.,1,0,.,.
126,.,1,0,.,.
127,shooting stars .,16,0,.,.
128,.,1,0,.,.
129,.,1,0,.,.
130,"and there were a lot of funny-looking people in town today ...""
",64,1,"""","...""
"
131,"""So?""",5,0,"""","""So?"""
132,"snapped Mrs. Dursley.
",22,1,.,"Dursley.
"
133,"""Well, I just thought ... maybe ... it was something to do with ... you know ... her crowd.""
",93,1,"""","crowd.""
"
134,Mrs. Dursley sipped her tea through pursed lips.,48,0,.,lips.
135,"Mr. Dursley wondered whether he dared tell her he'd heard the name ""Potter.""",76,0,"""","""Potter."""
136,He decided he didn't dare.,26,0,.,dare.
137,"Instead he said, as casually as he could, ""Their son - he'd be about Dudley's age now, wouldn't he?""
",101,1,"""","he?""
"
138,"""I suppose so,"" said Mrs. Dursley stiffly.
",43,1,.,"stiffly.
"
139,"""What's his name again?",23,0,?,again?
140,"Howard, isn't it?""
",19,1,"""","it?""
"
141,"""Harry.",7,0,.,"""Harry."
142,"Nasty, common name, if you ask me.""
",36,1,"""","me.""
"
143,"""Oh, yes,"" said Mr. Dursley, his heart sinking horribly.",56,0,.,horribly.
144,"""Yes, I quite agree.""
",22,1,"""","agree.""
"
145,He didn't say another word on the subject as they went upstairs to bed.,71,0,.,bed.
146,"While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden.",118,0,.,garden.
147,The cat was still there.,24,0,.,there.
148,"It was staring down Privet Drive as though it were waiting for something.
",74,1,.,"something.
"
149,Was he imagining things?,24,0,?,things?
150,Could all this have anything to do with the Potters?,52,0,?,Potters?
151,"If it did ... if it got out that they were related to a pair of - well, he didn't think he could bear it.
",106,1,.,"it.
"
152,The Dursleys got into bed.,26,0,.,bed.
153,"Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind.",92,0,.,mind.
154,"His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley.",158,0,.,Dursley.
155,The Potters knew very well what he and Petunia thought about them and their kind.,81,0,.,kind.
156,...,3,0,.,...
157,He couldn't see how he and Petunia could get mixed up in anything that might be going on - he yawned and turned over - it couldn't affect them.,143,0,.,them.
158,"...
",4,1,.,"...
"
159,"How very wrong he was.
",23,1,.,"was.
"
160,"Mr. Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness.",125,0,.,sleepiness.
161,"It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive.",99,0,.,Drive.
162,"It didn't so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead.",107,0,.,overhead.
163,"In fact, it was nearly midnight before the cat moved at all.
",61,1,.,"all.
"
164,"A man appeared on the corner the cat had been watching, appeared so suddenly and silently you'd have thought he'd just popped out of the ground.",144,0,.,ground.
165,"The cat's tail twitched and its eyes narrowed.
",47,1,.,"narrowed.
"
166,Nothing like this man had ever been seen on Privet Drive.,57,0,.,Drive.
167,"He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long
",99,1,g,"long
"
168,enough to tuck into his belt.,29,0,.,belt.
169,"He was wearing long robes, a purple cloak that swept the ground, and high-heeled, buckled boots.",96,0,.,boots.
170,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",160,0,.,twice.
171,"This man's name was Albus Dumbledore.
",38,1,.,"Dumbledore.
"
172,Albus Dumbledore didn't seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome.,135,0,.,unwelcome.
173,"He was busy rummaging in his cloak, looking for something.",58,0,.,something.
174,"But he did seem to realize he was being watched, because he looked up suddenly at the cat, which was still staring at him from the other end of the street.",155,0,.,street.
175,"For some reason, the sight of the cat seemed to amuse him.",58,0,.,him.
176,"He chuckled and muttered, ""I should have known.""
",49,1,"""","known.""
"
177,He found what he was looking for in his inside pocket.,54,0,.,pocket.
178,It seemed to be a silver cigarette lighter.,43,0,.,lighter.
179,"He flicked it open, held it up in the air, and clicked it.",58,0,.,it.
180,The nearest street lamp went out with a little pop.,51,0,.,pop.
181,He clicked it again - the next lamp flickered into darkness.,60,0,.,darkness.
182,"Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him.",171,0,.,him.
183,"If anyone looked out of their window now, even beady-eyed Mrs. Dursley, they wouldn't be able to see anything that was happening down on the pavement.",150,0,.,pavement.
184,"Dumbledore slipped the Put- Outer back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat.",150,0,.,cat.
185,"He didn't look at it, but after a moment he spoke to it.
",57,1,.,"it.
"
186,"""Fancy seeing you here, Professor McGonagall.""
",47,1,"""","McGonagall.""
"
187,"He turned to smile at the tabby, but it had gone.",49,0,.,gone.
188,Instead he was smiling at a rather severe-looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes.,153,0,.,eyes.
189,"She, too, was wearing a cloak, an emerald one.",46,0,.,one.
190,Her black hair was drawn into a tight bun.,42,0,.,bun.
191,"She looked distinctly ruffled.
",31,1,.,"ruffled.
"
192,"""How did you know it was me?""",29,0,"""","me?"""
193,"she asked.
",11,1,.,"asked.
"
194,"""My dear Professor, I've never seen a cat sit so stiffly.""
",59,1,"""","stiffly.""
"
